date,station,average
1997-04-15,502,0.7
1997-04-16,502,0.9
1997-04-17,502,0.9
1997-04-18,502,0.8
1997-04-19,502,0.8
1997-04-20,502,0.9
1997-04-21,502,1.0
1997-04-22,502,1.1
1997-04-23,502,1.2
1997-04-24,502,1.4
1997-04-25,502,1.5
1997-04-26,502,1.4
1997-04-27,502,1.6
1997-04-28,502,1.7
1997-04-29,502,1.8
1997-04-30,502,2.0
1997-05-01,502,2.1
1997-05-02,502,2.0
1997-05-03,502,1.8
1997-05-04,502,1.7
1997-05-05,502,1.7
1997-05-06,502,1.7
1997-05-07,502,1.7
1997-05-08,502,1.6
1997-05-09,502,1.5
1997-05-10,502,1.5
1997-05-11,502,1.5
1997-05-12,502,1.5
1997-05-13,502,1.4
1997-05-14,502,1.4
1997-05-15,502,1.3
1997-05-16,502,1.1
1997-05-17,502,1.0
1997-05-18,502,0.9
1997-05-19,502,0.9
1997-05-20,502,0.9
1997-05-21,502,0.8
1997-05-22,502,0.9
1997-05-23,502,0.9
1997-05-24,502,0.8
1997-05-25,502,0.7
1997-05-26,502,0.8
1997-05-27,502,0.9
1997-05-28,502,0.9
1997-05-29,502,1.0
1997-05-30,502,1.0
1997-05-31,502,1.1
1998-01-14,502,0.7
1998-01-15,502,0.8
1998-01-16,502,0.7
1998-01-17,502,0.7
1998-01-18,502,0.7
1998-01-19,502,0.7
1998-01-20,502,0.9
1998-01-21,502,1.0
1998-01-22,502,1.1
1998-01-23,502,0.9
1998-01-24,502,1.1
1998-01-25,502,1.4
1998-01-26,502,1.8
1998-01-27,502,2.0
1998-01-28,502,2.4
1998-01-29,502,2.7
1998-01-30,502,2.9
1998-01-31,502,3.1
1998-02-01,502,3.2
1998-02-02,502,2.7
1998-02-03,502,2.3
1998-02-04,502,2.1
1998-02-05,502,1.9
1998-02-06,502,1.8
1998-02-07,502,1.7
1998-02-08,502,2.1
1998-02-09,502,2.0
1998-02-10,502,1.5
1998-02-11,502,1.6
1998-02-12,502,1.8
1998-02-13,502,1.6
1998-02-14,502,1.5
1998-02-15,502,1.3
1998-02-16,502,1.2
1998-02-17,502,1.5
1998-02-18,502,1.6
1998-02-19,502,1.5
1998-02-20,502,1.4
1998-02-21,502,1.5
1998-02-22,502,1.5
1998-02-23,502,1.2
1998-02-24,502,1.3
1998-02-25,502,1.5
1998-02-26,502,1.7
1998-02-27,502,1.9
1998-02-28,502,2.0
1998-03-01,502,3.8
1998-03-02,502,4.2
1998-03-03,502,4.2
1998-03-04,502,3.9
1998-03-05,502,3.9
1998-03-06,502,3.7
1998-03-07,502,3.6
1998-03-08,502,3.8
1998-03-09,502,3.6
1998-03-10,502,3.4
1998-03-11,502,3.2
1998-03-12,502,3.2
1998-03-13,502,3.2
1998-03-14,502,3.3
1998-03-15,502,3.4
1998-03-16,502,3.7
1998-03-17,502,3.4
1998-03-18,502,3.4
1998-03-19,502,3.5
1998-03-20,502,3.7
1998-03-21,502,3.7
1998-03-22,502,3.7
1998-03-23,502,3.7
1998-03-24,502,3.9
1998-03-25,502,3.5
1998-03-26,502,4.0
1998-03-27,502,5.0
1998-03-28,502,6.4
1998-03-29,502,7.3
1998-03-30,502,7.5
1998-03-31,502,7.6
1998-04-01,502,7.0
1998-04-02,502,7.3
1998-04-03,502,7.4
1998-04-04,502,7.6
1998-04-05,502,7.7
1998-04-06,502,8.1
1998-04-07,502,8.0
1998-04-08,502,7.8
1998-04-09,502,7.8
1998-04-10,502,7.9
1998-04-11,502,7.8
1998-04-12,502,7.8
1998-04-13,502,7.9
1998-04-14,502,7.9
1998-04-15,502,8.1
1998-04-16,502,8.1
1998-04-17,502,8.3
1998-04-18,502,8.4
1998-04-19,502,8.3
1998-04-20,502,8.3
1998-04-21,502,8.5
1998-04-22,502,8.5
1998-04-23,502,8.6
1998-04-24,502,8.7
1998-04-25,502,8.9
1998-04-26,502,9.0
1998-04-27,502,8.8
1998-04-28,502,9.0
1998-04-29,502,8.9
1998-04-30,502,9.0
1998-05-01,502,8.9
1998-05-02,502,8.3
1998-05-03,502,8.4
1998-05-04,502,8.2
1998-05-05,502,8.5
1998-05-06,502,8.2
1998-05-07,502,8.0
1998-05-08,502,8.1
1998-05-09,502,8.4
1998-05-10,502,8.6
1998-05-11,502,8.8
1998-05-12,502,9.4
1998-05-13,502,9.7
1998-05-14,502,9.6
1998-05-15,502,9.3
1998-05-16,502,8.8
1998-05-17,502,8.5
1998-05-18,502,8.3
1998-05-19,502,7.4
1998-05-20,502,6.7
1998-05-21,502,6.6
1998-05-22,502,6.6
1998-05-23,502,6.3
1998-05-24,502,6.2
1998-05-25,502,6.1
1998-05-26,502,6.3
1998-05-27,502,6.7
1998-05-28,502,7.4
1998-05-29,502,7.1
1998-05-30,502,6.9
1998-05-31,502,6.5
1998-06-01,502,6.3
1998-06-02,502,5.6
1998-06-03,502,5.6
1998-06-04,502,5.3
1998-06-05,502,5.2
1998-06-06,502,5.2
1998-06-07,502,4.8
1998-06-08,502,5.3
1998-06-09,502,5.4
1998-06-10,502,5.4
1998-06-11,502,5.5
1998-06-12,502,5.4
1998-06-13,502,5.0
1998-06-14,502,4.8
1998-06-15,502,4.6
1998-06-16,502,4.1
1998-06-17,502,4.1
1998-06-18,502,3.9
1998-06-19,502,3.6
1998-06-20,502,3.3
1998-06-21,502,3.3
1998-06-22,502,3.2
1998-06-23,502,3.2
1998-06-24,502,2.9
1998-06-25,502,3.4
1998-06-26,502,3.4
1998-06-27,502,3.3
1998-06-28,502,3.0
1998-06-29,502,2.4
1998-06-30,502,2.0
1998-07-01,502,1.8
1998-07-02,502,1.6
1998-07-03,502,1.5
1998-07-04,502,1.5
1998-07-05,502,1.3
1998-07-06,502,1.3
1998-07-07,502,1.3
1998-07-08,502,1.2
1998-07-09,502,1.3
1998-07-10,502,1.2
1998-07-11,502,1.2
1998-07-12,502,1.0
1998-07-13,502,1.1
1998-07-14,502,1.1
1998-07-15,502,1.0
1998-07-16,502,1.0
1998-07-17,502,0.9
1998-07-18,502,0.9
1998-07-19,502,0.8
1998-07-20,502,0.6
1998-07-21,502,0.6
1998-07-22,502,0.6
1998-07-23,502,0.5
1998-07-24,502,0.5
1998-07-25,502,0.4
1998-07-26,502,1.6
1998-07-27,502,0.4
1998-07-28,502,0.4
1998-07-29,502,0.4
1998-07-30,502,0.4
1998-07-31,502,0.3
1999-02-01,502,0.2
1999-02-02,502,0.2
1999-02-03,502,0.3
1999-02-04,502,0.3
1999-02-05,502,0.3
1999-02-06,502,0.4
1999-02-07,502,0.4
1999-02-08,502,0.4
1999-02-09,502,0.5
1999-02-10,502,0.3
1999-02-11,502,0.3
1999-02-12,502,0.4
1999-02-13,502,0.4
1999-02-14,502,0.4
1999-02-15,502,0.7
1999-02-16,502,0.8
1999-02-17,502,0.8
1999-02-18,502,0.8
1999-02-19,502,0.8
1999-02-20,502,0.7
1999-02-21,502,0.6
1999-02-22,502,0.7
1999-02-23,502,0.7
1999-02-24,502,0.8
1999-02-25,502,0.9
1999-02-26,502,0.9
1999-02-27,502,0.9
1999-02-28,502,1.1
1996-03-01,504,0.1
1996-03-02,504,0.1
1996-03-03,504,0.1
1996-03-04,504,0.1
1996-03-05,504,0.15
1996-03-06,504,0.15
1996-03-07,504,0.15
1996-03-08,504,0.15
1996-03-09,504,0.15
1996-03-10,504,0.15
1996-03-11,504,0.25
1996-03-12,504,0.3
1996-03-13,504,0.3
1996-03-14,504,0.35
1996-03-15,504,0.35
1996-03-16,504,0.25
1996-03-17,504,0.3
1996-03-18,504,0.3
1996-03-19,504,0.3
1996-03-20,504,0.3
1996-03-21,504,0.3
1996-03-22,504,0.45
1996-03-23,504,0.6
1996-03-24,504,0.7
1996-03-25,504,0.75
1996-03-26,504,1.0
1996-03-27,504,1.15
1996-03-28,504,1.15
1996-03-29,504,1.0
1996-03-30,504,0.8
1996-03-31,504,0.75
1996-04-01,504,0.75
1996-04-02,504,0.85
1996-04-03,504,0.95
1996-04-04,504,1.25
1996-04-05,504,1.65
1996-04-06,504,2.2
1996-04-07,504,2.45
1996-04-08,504,2.6
1996-04-09,504,2.5
1996-04-10,504,2.35
1996-04-11,504,2.1
1996-04-12,504,1.7
1996-04-13,504,1.9
1996-04-14,504,2.15
1996-04-15,504,2.25
1996-04-16,504,2.45
1996-04-17,504,2.6
1996-04-18,504,2.7
1996-04-19,504,2.6
1996-04-20,504,2.55
1996-04-21,504,2.7
1996-04-22,504,2.6
1996-04-23,504,2.35
1996-04-24,504,1.9
1996-04-25,504,1.7
1996-04-26,504,1.25
1996-04-27,504,0.9
1996-04-28,504,0.6
1996-04-29,504,0.45
1996-04-30,504,0.5
1996-05-01,504,0.5
1996-05-02,504,0.55
1996-05-03,504,0.55
1996-05-04,504,0.7
1996-05-05,504,0.8
1996-05-06,504,0.85
1996-05-07,504,1.0
1996-05-08,504,0.9
1996-05-09,504,0.85
1996-05-10,504,0.8
1996-05-11,504,0.8
1996-05-12,504,0.8
1996-05-13,504,0.9
1996-05-14,504,1.0
1996-05-15,504,1.0
1996-05-16,504,0.9
1996-05-17,504,0.75
1996-05-18,504,0.65
1996-05-19,504,0.55
1996-05-20,504,0.45
1996-05-21,504,0.35
1996-05-22,504,0.35
1996-05-23,504,0.3
1996-05-24,504,0.3
1996-05-25,504,0.3
1996-05-26,504,0.3
1996-05-27,504,0.35
1996-05-28,504,0.4
1996-05-29,504,0.35
1996-05-30,504,0.35
1996-05-31,504,0.25
1996-06-01,504,0.15
1996-06-02,504,0.15
1996-06-03,504,0.15
1996-06-04,504,0.15
1996-06-05,504,0.15
1996-06-06,504,0.15
1996-06-07,504,0.15
1996-06-08,504,0.15
1996-06-09,504,0.15
1996-06-10,504,0.1
1996-06-11,504,0.15
1996-06-12,504,0.15
1996-06-13,504,0.1
1996-06-14,504,0.1
1997-03-01,504,0.1
1997-03-02,504,0.15
1997-03-03,504,0.15
1997-03-04,504,0.15
1997-03-05,504,0.15
1997-03-06,504,0.15
1997-03-07,504,0.15
1997-03-08,504,0.15
1997-03-09,504,0.15
1997-03-10,504,0.15
1997-03-11,504,0.15
1997-03-12,504,0.15
1997-03-13,504,0.15
1997-03-14,504,0.15
1997-03-15,504,0.15
1997-03-16,504,0.15
1997-03-17,504,0.15
1997-03-18,504,0.15
1997-03-19,504,0.15
1997-03-20,504,0.15
1997-03-21,504,0.15
1997-03-22,504,0.15
1997-03-23,504,0.25
1997-03-24,504,0.25
1997-03-25,504,0.3
1997-03-26,504,0.35
1997-03-27,504,0.35
1997-03-28,504,0.35
1997-03-29,504,0.4
1997-03-30,504,0.45
1997-03-31,504,0.4
1997-04-01,504,0.35
1997-04-02,504,0.35
1997-04-03,504,0.25
1997-04-04,504,0.2
1997-04-05,504,0.3
1997-04-06,504,0.35
1997-04-07,504,0.4
1997-04-08,504,0.4
1997-04-09,504,0.4
1997-04-10,504,0.4
1997-04-11,504,0.4
1997-04-12,504,0.4
1997-04-13,504,0.45
1997-04-14,504,0.35
1997-04-15,504,0.35
1997-04-16,504,0.35
1997-04-17,504,0.3
1997-04-18,504,0.25
1997-04-19,504,0.3
1997-04-20,504,0.3
1997-04-21,504,0.4
1997-04-22,504,0.45
1997-04-23,504,0.45
1997-04-24,504,0.55
1997-04-25,504,0.45
1997-04-26,504,0.5
1997-04-27,504,0.5
1997-04-28,504,0.45
1997-04-29,504,0.35
1997-04-30,504,0.35
1997-05-01,504,0.35
1997-05-02,504,0.35
1997-05-03,504,0.45
1997-05-04,504,0.45
1997-05-05,504,0.5
1997-05-06,504,0.55
1997-05-07,504,0.65
1997-05-08,504,0.7
1997-05-09,504,0.6
1997-05-10,504,0.6
1997-05-11,504,0.5
1997-05-12,504,0.45
1997-05-13,504,0.5
1997-05-14,504,0.5
1997-05-15,504,0.45
1997-05-16,504,0.45
1997-05-17,504,0.45
1997-05-18,504,0.4
1997-05-19,504,0.55
1997-05-20,504,0.65
1997-05-21,504,0.7
1997-05-22,504,0.65
1997-05-23,504,0.65
1997-05-24,504,0.55
1997-05-25,504,0.6
1997-05-26,504,0.6
1997-05-27,504,0.55
1997-05-28,504,0.55
1997-05-29,504,0.6
1997-05-30,504,0.65
1997-05-31,504,0.65
1998-03-01,504,0.9
1998-03-02,504,0.85
1998-03-03,504,0.9
1998-03-04,504,0.85
1998-03-05,504,0.9
1998-03-06,504,0.95
1998-03-07,504,0.95
1998-03-08,504,0.8
1998-03-09,504,0.8
1998-03-10,504,0.8
1998-03-11,504,0.9
1998-03-12,504,0.95
1998-03-13,504,1.0
1998-03-14,504,0.95
1998-03-15,504,1.05
1998-03-16,504,1.05
1998-03-17,504,1.1
1998-03-18,504,1.1
1998-03-19,504,1.2
1998-03-20,504,1.25
1998-03-21,504,1.15
1998-03-22,504,1.25
1998-03-23,504,1.3
1998-03-24,504,1.35
1998-03-25,504,1.15
1998-03-26,504,1.05
1998-03-27,504,1.2
1998-03-28,504,1.25
1998-03-29,504,1.7
1998-03-30,504,2.55
1998-03-31,504,2.95
1998-04-01,504,3.15
1998-04-02,504,3.4
1998-04-03,504,3.9
1998-04-04,504,4.0
1998-04-05,504,4.1
1998-04-06,504,4.0
1998-04-07,504,4.1
1998-04-08,504,4.4
1998-04-09,504,4.6
1998-04-10,504,4.55
1998-04-11,504,4.65
1998-04-12,504,4.8
1998-04-13,504,4.95
1998-04-14,504,5.4
1998-04-15,504,5.65
1998-04-16,504,5.4
1998-04-17,504,5.6
1998-04-18,504,5.7
1998-04-19,504,5.9
1998-04-20,504,5.9
1998-04-21,504,5.85
1998-04-22,504,5.15
1998-04-23,504,5.35
1998-04-24,504,5.55
1998-04-25,504,5.7
1998-04-26,504,5.85
1998-04-27,504,5.9
1998-04-28,504,6.2
1998-04-29,504,6.35
1998-04-30,504,6.25
1998-05-01,504,6.25
1998-05-02,504,6.3
1998-05-03,504,6.4
1998-05-04,504,6.35
1998-05-05,504,6.15
1998-05-06,504,5.75
1998-05-07,504,5.4
1998-05-08,504,5.65
1998-05-09,504,6.0
1998-05-10,504,6.3
1998-05-11,504,6.5
1998-05-12,504,6.65
1998-05-13,504,7.15
1998-05-14,504,7.05
1998-05-15,504,6.8
1998-05-16,504,6.65
1998-05-17,504,6.3
1998-05-18,504,6.0
1998-05-19,504,5.75
1998-05-20,504,5.5
1998-05-21,504,5.05
1998-05-22,504,5.15
1998-05-23,504,5.1
1998-05-24,504,4.9
1998-05-25,504,4.85
1998-05-26,504,4.65
1998-05-27,504,4.85
1998-05-28,504,5.7
1998-05-29,504,5.75
1998-05-30,504,5.65
1998-05-31,504,5.3
1998-06-01,504,4.85
1998-06-02,504,4.6
1998-06-03,504,4.6
1998-06-04,504,4.5
1998-06-05,504,3.95
1998-06-06,504,3.55
1998-06-07,504,3.35
1998-06-08,504,3.35
1995-02-02,505,3.7
1995-02-09,505,4.1
1995-02-18,505,3.1
1995-02-19,505,3.6
1995-02-23,505,3.6
1995-03-03,505,4.7
1995-03-04,505,5.2
1995-03-10,505,2.0
1995-03-20,505,7.2
1995-03-26,505,5.1
1995-03-27,505,5.7
1995-04-02,505,5.4
1995-04-03,505,6.0
1995-04-10,505,4.7
1995-04-11,505,5.1
1995-04-17,505,7.1
1995-04-18,505,7.8
1995-04-24,505,7.1
1995-04-25,505,7.5
1995-05-01,505,8.7
1995-05-02,505,8.9
1995-05-09,505,6.9
1995-05-16,505,4.5
1995-05-17,505,4.5
1995-05-23,505,4.9
1995-05-24,505,0.7
1995-05-30,505,1.0
1995-05-31,505,1.2
1995-06-02,505,1.2
1995-06-07,505,0.6
1995-06-16,505,1.6
1995-06-21,505,0.8
1995-06-22,505,0.6
1995-07-01,505,0.5
1995-07-07,505,0.4
1995-07-15,505,0.5
1995-07-20,505,2.7
1995-07-31,505,0.2
1996-01-01,505,0.2
1996-01-02,505,0.2
1996-01-03,505,0.3
1996-01-04,505,0.3
1996-01-05,505,0.4
1996-01-06,505,0.6
1996-01-07,505,0.7
1996-01-08,505,0.8
1996-01-09,505,1.0
1996-01-10,505,1.0
1996-01-11,505,1.0
1996-01-12,505,0.9
1996-01-13,505,0.9
1996-01-14,505,1.0
1996-01-15,505,0.9
1996-01-16,505,1.0
1996-01-17,505,1.2
1996-01-18,505,1.6
1996-01-19,505,1.9
1996-01-20,505,2.2
1996-01-21,505,2.3
1996-01-22,505,2.3
1996-01-23,505,2.1
1996-01-24,505,2.1
1996-01-25,505,2.3
1996-01-26,505,2.3
1996-01-27,505,2.1
1996-01-28,505,2.0
1996-01-29,505,2.1
1996-01-30,505,2.0
1996-01-31,505,1.7
1996-02-01,505,1.4
1996-02-02,505,2.1
1996-02-03,505,2.4
1996-02-04,505,2.6
1996-02-05,505,3.0
1996-02-06,505,3.4
1996-02-07,505,3.5
1996-02-08,505,3.3
1996-02-09,505,3.2
1996-02-10,505,3.3
1996-02-11,505,3.1
1996-02-12,505,2.6
1996-02-13,505,2.6
1996-02-14,505,2.4
1996-02-15,505,2.1
1996-02-16,505,2.2
1996-02-17,505,2.3
1996-02-18,505,3.1
1996-02-19,505,3.9
1996-02-20,505,4.7
1996-02-21,505,6.0
1996-02-22,505,6.5
1996-02-23,505,7.9
1996-02-24,505,7.0
1996-02-25,505,7.0
1996-02-26,505,6.4
1996-02-27,505,5.7
1996-02-28,505,6.0
1996-02-29,505,5.0
1996-03-01,505,5.2
1996-03-02,505,5.3
1996-03-03,505,4.4
1996-03-04,505,5.1
1996-03-05,505,5.6
1996-03-06,505,5.6
1996-03-07,505,5.4
1996-03-08,505,5.2
1996-03-09,505,5.2
1996-03-10,505,5.1
1996-03-11,505,5.1
1996-03-12,505,5.2
1996-03-13,505,5.4
1996-03-14,505,5.8
1996-03-15,505,5.0
1996-03-16,505,4.4
1996-03-17,505,4.6
1996-03-18,505,4.9
1996-03-19,505,5.4
1996-03-20,505,5.1
1996-03-21,505,5.7
1996-03-22,505,5.7
1996-03-23,505,6.0
1996-03-24,505,5.6
1996-03-25,505,6.5
1996-03-26,505,6.6
1996-03-27,505,7.2
1996-03-28,505,7.1
1996-03-29,505,6.0
1996-03-30,505,5.7
1996-03-31,505,5.6
1996-04-01,505,5.7
1996-04-02,505,5.8
1996-04-03,505,6.3
1996-04-04,505,6.8
1996-04-05,505,7.6
1996-04-06,505,8.5
1996-04-07,505,8.3
1996-04-08,505,8.6
1996-04-09,505,8.3
1996-04-10,505,7.4
1996-04-11,505,6.9
1996-04-12,505,6.7
1996-04-13,505,6.7
1996-04-14,505,7.5
1996-04-15,505,7.5
1996-04-16,505,8.1
1996-04-17,505,8.3
1996-04-18,505,8.0
1996-04-19,505,7.6
1996-04-20,505,7.1
1996-04-21,505,6.8
1996-04-22,505,6.0
1996-04-23,505,5.9
1996-04-24,505,5.5
1996-04-25,505,5.3
1996-04-26,505,4.9
1996-04-27,505,4.3
1996-04-28,505,3.5
1996-04-29,505,3.3
1996-04-30,505,3.5
1996-05-01,505,3.6
1996-05-02,505,3.5
1996-05-03,505,3.6
1996-05-04,505,3.8
1996-05-05,505,3.8
1996-05-06,505,3.8
1996-05-07,505,3.8
1996-05-08,505,3.2
1996-05-09,505,3.0
1996-05-10,505,2.8
1996-05-11,505,2.5
1996-05-12,505,2.3
1996-05-13,505,3.5
1996-05-14,505,3.4
1996-05-15,505,2.6
1996-05-16,505,2.2
1996-05-17,505,1.6
1996-05-18,505,1.3
1996-05-19,505,0.9
1996-05-20,505,0.6
1996-05-21,505,0.6
1996-05-22,505,0.5
1996-05-23,505,0.4
1996-05-24,505,0.3
1996-05-25,505,0.3
1996-05-26,505,0.4
1996-05-27,505,0.3
1996-05-28,505,0.3
1996-05-29,505,0.4
1996-05-30,505,0.4
1996-05-31,505,0.0
1996-06-01,505,0.4
1996-06-02,505,0.3
1996-06-03,505,0.3
1996-06-04,505,0.3
1996-06-05,505,0.3
1996-06-06,505,0.3
1996-06-07,505,0.2
1996-06-08,505,0.2
1996-06-09,505,0.2
1996-06-10,505,0.2
1996-06-11,505,0.2
1996-06-12,505,0.2
1996-06-13,505,0.2
1996-06-14,505,0.2
1996-06-15,505,0.2
1996-06-16,505,0.2
1996-06-17,505,0.2
1996-06-18,505,0.2
1996-06-19,505,0.2
1996-06-20,505,0.2
1996-06-21,505,0.1
1996-06-22,505,0.1
1996-06-23,505,0.2
1996-06-24,505,0.2
1996-06-25,505,0.1
1996-06-26,505,0.1
1996-06-27,505,0.1
1996-06-28,505,0.1
1996-06-29,505,0.1
1996-06-30,505,0.2
1997-01-14,505,0.1
1997-01-15,505,0.1
1997-01-16,505,0.1
1997-01-17,505,0.1
1997-01-18,505,0.1
1997-01-19,505,0.1
1997-01-20,505,0.1
1997-01-21,505,0.1
1997-01-22,505,0.1
1997-01-23,505,0.2
1997-01-24,505,0.2
1997-01-25,505,0.2
1997-01-26,505,0.2
1997-01-27,505,0.3
1997-01-28,505,0.3
1997-01-29,505,0.3
1997-01-30,505,0.3
1997-01-31,505,0.6
1997-02-01,505,0.7
1997-02-02,505,0.7
1997-02-03,505,0.6
1997-02-04,505,0.6
1997-02-05,505,0.9
1997-02-06,505,1.0
1997-02-07,505,1.1
1997-02-08,505,1.2
1997-02-09,505,1.2
1997-02-10,505,1.1
1997-02-11,505,1.3
1997-02-12,505,1.3
1997-02-13,505,1.1
1997-02-14,505,1.1
1997-02-15,505,1.3
1997-02-16,505,1.1
1997-02-17,505,0.9
1997-02-18,505,1.1
1997-02-19,505,1.2
1997-02-20,505,1.1
1997-02-21,505,0.9
1997-02-22,505,0.9
1997-02-23,505,0.9
1997-02-24,505,0.9
1997-02-25,505,1.0
1997-02-26,505,0.9
1997-02-27,505,0.9
1997-02-28,505,0.9
1997-03-01,505,0.9
1997-03-02,505,0.9
1997-03-03,505,0.9
1997-03-04,505,1.0
1997-03-05,505,1.0
1997-03-06,505,1.2
1997-03-07,505,1.7
1997-03-08,505,1.9
1997-03-09,505,2.1
1997-03-10,505,2.1
1997-03-11,505,2.1
1997-03-12,505,1.9
1997-03-13,505,1.8
1997-03-14,505,1.6
1997-03-15,505,1.7
1997-03-16,505,1.7
1997-03-17,505,1.5
1997-03-18,505,1.4
1997-03-19,505,1.4
1997-03-20,505,1.7
1997-03-21,505,1.9
1997-03-22,505,2.0
1997-03-23,505,1.9
1997-03-24,505,1.8
1997-03-25,505,2.3
1997-03-26,505,3.4
1997-03-27,505,3.6
1997-03-28,505,3.4
1997-03-29,505,4.0
1997-03-30,505,4.0
1997-03-31,505,3.9
1997-04-01,505,4.0
1997-04-02,505,3.9
1997-04-03,505,3.3
1997-04-04,505,3.3
1997-04-05,505,3.3
1997-04-06,505,3.5
1997-04-07,505,3.7
1997-04-08,505,3.4
1997-04-09,505,3.5
1997-04-10,505,3.3
1997-04-11,505,2.9
1997-04-12,505,2.7
1997-04-13,505,2.4
1997-04-14,505,2.0
1997-04-15,505,1.7
1997-04-16,505,1.4
1997-04-17,505,1.0
1997-04-18,505,1.1
1997-04-19,505,1.2
1997-04-20,505,1.3
1997-04-21,505,1.4
1997-04-22,505,1.4
1997-04-23,505,1.6
1997-04-24,505,1.9
1997-04-25,505,2.1
1997-04-26,505,2.0
1997-04-27,505,2.0
1997-04-28,505,2.1
1997-04-29,505,2.4
1997-04-30,505,2.5
1997-05-01,505,3.1
1997-05-02,505,2.6
1997-05-03,505,2.3
1997-05-04,505,2.1
1997-05-05,505,2.1
1997-05-06,505,2.1
1997-05-07,505,2.3
1997-05-08,505,2.4
1997-05-09,505,2.6
1997-05-10,505,2.5
1997-05-11,505,2.6
1997-05-12,505,2.5
1997-05-13,505,2.4
1997-05-14,505,2.3
1997-05-15,505,1.9
1997-05-16,505,1.5
1997-05-17,505,1.3
1997-05-18,505,1.2
1997-05-19,505,1.0
1997-05-20,505,1.2
1997-05-21,505,1.3
1997-05-22,505,1.3
1997-05-23,505,1.4
1997-05-24,505,1.4
1997-05-25,505,1.0
1997-05-26,505,1.0
1997-05-27,505,1.2
1997-05-28,505,1.3
1997-05-29,505,1.2
1997-05-30,505,1.3
1997-05-31,505,1.4
1998-01-14,505,1.2
1998-01-15,505,1.1
1998-01-16,505,1.0
1998-01-17,505,1.1
1998-01-18,505,1.2
1998-01-19,505,1.2
1998-01-20,505,1.2
1998-01-21,505,1.3
1998-01-22,505,1.4
1998-01-23,505,1.6
1998-01-24,505,1.8
1998-01-25,505,2.0
1998-01-26,505,2.1
1998-01-27,505,2.4
1998-01-28,505,3.3
1998-01-29,505,4.0
1998-01-30,505,4.1
1998-01-31,505,4.2
1998-02-01,505,4.4
1998-02-02,505,3.9
1998-02-03,505,3.6
1998-02-04,505,3.4
1998-02-05,505,3.7
1998-02-06,505,4.1
1998-02-07,505,3.9
1998-02-08,505,3.8
1998-02-09,505,3.5
1998-02-10,505,2.7
1998-02-11,505,2.7
1998-02-12,505,3.0
1998-02-13,505,3.8
1998-02-14,505,3.8
1998-02-15,505,3.1
1998-02-16,505,2.6
1998-02-17,505,3.1
1998-02-18,505,3.1
1998-02-19,505,2.8
1998-02-20,505,2.6
1998-02-21,505,2.7
1998-02-22,505,2.8
1998-02-23,505,2.5
1998-02-24,505,2.5
1998-02-25,505,2.7
1998-02-26,505,2.9
1998-02-27,505,3.1
1998-02-28,505,3.2
1998-03-01,505,5.1
1998-03-02,505,5.3
1998-03-03,505,5.0
1998-03-04,505,4.6
1998-03-05,505,4.5
1998-03-06,505,4.4
1998-03-07,505,4.4
1998-03-08,505,4.6
1998-03-09,505,4.5
